Previous_Semester_GPA,Past_Exam_Score,Attendance_Rate,Assignment_Submission_Rate,Weekly_Study_Hours,Sleep_Duration,Final_Score
6.8,80.5,63.3,76.0,4.6,8.2,63.0
9.56,71.1,79.4,74.0,4.5,7.9,78.5
8.51,58.0,94.3,51.3,11.1,7.1,73.2
7.87,87.2,88.0,67.1,4.5,8.8,69.9
5.75,79.7,91.3,69.0,4.7,5.4,58.5
5.75,49.4,84.6,69.9,9.6,5.0,50.5
5.28,92.8,86.2,79.0,6.5,8.3,59.7
9.16,87.7,93.2,76.7,9.8,6.5,86.0
7.89,95.1,66.2,80.4,2.7,8.3,67.9
8.4,82.1,77.0,88.2,6.9,8.5,77.5
5.1,75.6,65.0,90.6,2.3,4.8,44.6
9.66,64.3,99.4,85.9,2.6,8.5,76.1
9.0,94.1,97.5,97.8,11.1,6.5,87.5
6.02,90.2,56.8,50.9,3.4,6.8,55.9
5.87,42.6,86.8,59.8,7.3,7.3,46.1
5.88,41.5,96.6,50.4,6.1,8.7,50.5
6.46,61.8,63.1,82.4,5.5,4.6,51.4
7.52,87.0,80.6,94.9,11.0,6.6,72.8
7.07,97.3,96.2,62.2,2.2,7.6,66.6
6.4,48.7,56.5,96.4,8.6,7.8,55.4
7.94,74.5,86.4,53.0,11.6,7.6,72.6
5.67,62.1,68.4,96.7,7.6,5.1,50.8
6.4,96.3,96.6,67.6,11.4,5.8,71.9
6.76,88.8,98.7,55.1,2.5,6.1,64.4
7.19,88.6,97.5,74.3,6.2,8.1,74.2
8.77,67.2,76.3,62.8,4.6,5.8,71.4
5.96,64.1,93.8,64.2,9.3,5.4,55.8
7.47,55.9,93.0,65.4,11.8,8.8,64.8
7.84,43.3,69.4,90.2,4.6,4.5,55.7
5.22,90.2,92.3,77.0,8.5,9.0,62.6
7.92,87.1,56.7,65.6,4.0,7.5,65.0
5.82,98.0,81.8,80.5,7.7,8.2,63.9
5.31,97.8,65.4,85.8,6.6,5.8,59.1
9.55,72.2,60.4,63.6,11.7,4.6,77.7
9.64,84.6,58.5,70.7,8.1,7.8,81.4
8.88,94.8,86.3,56.1,5.5,8.3,78.9
6.46,89.3,70.3,59.1,3.1,7.8,58.8
5.47,54.3,87.6,84.1,3.5,5.1,44.7
8.28,66.1,57.9,59.1,4.3,7.9,64.7
7.11,47.5,69.2,76.3,4.5,8.0,55.7
5.59,95.3,79.3,85.5,10.5,7.5,61.9
7.38,75.2,90.6,55.3,7.6,7.9,65.4
